CustomerID,Name,DateOfBirth,Gender,Address,PhoneNumber,Email,AccountBalance,AccountType,LastTransactionDate
c8944121-c83c-4470-a377-7bcd4bcaee30,Jeremy Hatfield,1958-02-21,Male,"4881 Potter Ford
Haleymouth, IL 67129",275.330.8004x461,sstark@example.com,727716,Savings,2020-02-04
6dd1e095-9e58-46c7-9898-006bc1362183,Todd Harmon DDS,2002-10-15,Male,"7930 Russell Meadows
Lake Garyville, PW 01756",2366026999,kchoi@example.com,836685,Savings,2020-04-23
c83a68a6-cd9f-413c-8425-9f00d5599941,Meghan Hardy,1996-02-14,Male,"8110 Kimberly Course
North Carolyn, WY 23014",(393)917-3139x281,shelly86@example.org,200807,Credit,2023-06-19
a500bba5-34cc-4d52-98ba-d82e13a045c4,Mary Dillon,1948-09-25,Female,"38853 Sandra Coves
Berrymouth, NE 57211",386-826-1441x4432,perkinsjoseph@example.org,531350,Savings,2022-08-20
e13ed4bd-eae0-4de9-bb64-0da4f55db42b,Aaron Duke,1963-12-11,Female,"6327 Williams Via Apt. 761
Lake Chelseaborough, AK 17392",001-291-885-7232,jenkinssteven@example.org,44932,Savings,2021-07-03
43f68981-bbd0-472d-84ee-db9dc1717a53,Zachary Johnson,1949-10-06,Female,"141 Carpenter Stream Apt. 602
Woodview, OK 01320",319.335.5282,rogerwalker@example.net,105080,Credit,2021-05-21
967d580a-0dc5-43c4-961d-bc867a0a1b5e,Elizabeth Sullivan,2002-07-27,Female,"072 Medina Pines
Millerton, WV 49854",(354)657-9129x531,david87@example.net,35034,Credit,2022-05-09
e7639355-0a37-41f8-8e1e-8dc15bc210f2,Wendy Newton,1974-10-08,Male,"275 Nicole Ramp Suite 646
New Tina, WI 40290",9067161955,xcampbell@example.com,378491,Checking,2023-12-15
b625812e-e1be-4c41-806e-41006e08a68f,Christine Hamilton,2005-11-25,Female,"240 Steven Views Apt. 511
Lake Andrew, NV 18319",001-274-282-2055x05642,dennisshea@example.org,547036,Savings,2020-05-14
c9190f9e-0eb0-4cd9-9744-8bc7aec06e12,Paul Wu,1960-08-18,Male,"PSC 7289, Box 9485
APO AP 30077",8603579721,davidwilliams@example.org,911501,Credit,2023-01-23
b7ba4921-2bb3-4e39-99aa-a28b6d10c265,Glenn Gonzales,1978-11-12,Male,"04252 Evelyn Highway
Deanview, WY 75553",+1-415-942-9646x611,marymorgan@example.net,695207,Savings,2022-02-17
bce4d9e2-95e4-4ac2-9fc4-4630a55c76db,Jacob Francis,1944-08-13,Male,"699 Johnson Mountain Apt. 459
Stewartton, LA 17848",302-989-4396x2517,mshaffer@example.net,528073,Checking,2023-11-13
09b2dfa5-6399-4520-83d5-37e290a76a08,Joel Robinson,1992-03-15,Male,"23036 Richard Cape Suite 115
Scottbury, MI 57067",001-761-226-1463x5990,joseph76@example.com,707570,Credit,2023-11-08
20c2b06d-3c51-42e7-aa70-f7d260d84783,Jamie Li,1978-03-04,Female,"86546 Audrey Burgs Suite 928
East Jasonhaven, FL 40790",001-767-816-1125x391,christina77@example.com,856719,Credit,2022-01-27
3c8403fc-6b60-4a61-be8b-e0ecb97f0201,Brandon Hall,1995-02-23,Male,"8435 Porter Overpass
Velezmouth, KY 53202",(425)876-9752x3913,bmays@example.net,206433,Checking,2021-07-30
c1d45076-433f-4d26-ae7d-b24fa533b8f0,William Young,1952-12-08,Female,"90169 Brown Cliffs
South Annaport, MT 37392",383-653-2005x957,sparksdaniel@example.com,863652,Savings,2020-07-01
0001d516-4d32-405b-a094-9da2812206d4,Jessica Lewis,1973-03-31,Female,"866 Lutz Spurs Suite 200
East Johntown, ME 33962",+1-313-435-8147x52345,gilmoremark@example.com,952830,Savings,2021-09-21
